name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Geno Smith,SEA,QB,34.5,6305,1373,11150,1200,244,31,40
Kendre Miller,NO,RB,22.8,9960,9757,16171,1197,245,64,-275
Austin Ekeler,WAS,RB,29.9,1332,4663,13404,1193,246,65,144
2025 Pick 3.12,null,PICK,null,15693,DP_2_11,DP_2_11,1185,247,43,-81
Joshua Palmer,LAC,WR,25.5,2308,7670,15319,1167,248,81,759
Jaydon Blue,null,RB,null,12622,12457,UNK,1160,249,66,1
Dontayvion Wicks,GB,WR,23.8,9909,9486,16195,1155,250,82,-147
Mike Gesicki,CIN,TE,29.5,7291,4993,13672,1138,251,29,521
Savion Williams,null,WR,null,12602,12482,UNK,1128,252,83,-34
Troy Franklin,DEN,WR,22.1,11738,11627,16619,1112,253,84,-156
Gunnar Helm,null,TE,null,12640,12502,UNK,1096,254,30,-36
Woody Marks,null,RB,null,12599,12474,UNK,1083,255,67,-15
DeAndre Hopkins,KC,WR,32.8,4681,1426,11232,1067,256,85,151
Zach Ertz,WAS,TE,34.4,324,1339,11247,1059,257,31,218
Chig Okonkwo,TEN,TE,25.5,722,8210,15889,1056,258,32,-216
Raheim Sanders,null,RB,null,12641,12472,UNK,1052,259,68,-12
Audric Estime,DEN,RB,21.6,11776,11579,16595,1046,260,69,-180
Ja'Lynn Polk,NE,WR,23,11700,11619,16631,1040,261,86,-150
2026 Round 3,null,PICK,null,9664,FP_2026_3,FP_2026_3,1020,262,44,-25
2027 Round 3,null,PICK,null,9694,FP_2027_3,FP_2027_3,1010,263,45,-10
Kayshon Boutte,NE,WR,22.9,9939,9504,16193,1002,264,87,-149
Quinn Ewers,null,QB,null,12648,12500,UNK,974,265,32,-48
Adam Thielen,CAR,WR,34.6,4811,1689,11938,945,266,88,-136
Kareem Hunt,KC,RB,29.6,6621,4098,13138,942,267,70,187
Derek Carr,NO,QB,34,1954,2028,11644,940,268,33,43
Donovan Edwards,null,RB,null,12670,12515,UNK,937,269,71,-11
Tory Horton,null,WR,null,12637,12497,UNK,930,270,89,-15
Terrance Ferguson,null,TE,null,12596,12487,UNK,928,271,33,-22
Roschon Johnson,CHI,RB,24.1,9926,10235,16175,928,272,72,-76
Tai Felton,null,WR,null,12604,12496,UNK,875,273,90,-11
Hunter Henry,NE,TE,30.3,675,3214,12676,868,274,34,-261
Oronde Gadsden,null,TE,null,12576,12493,UNK,847,275,35,-18
Jarquez Hunter,null,RB,null,11707,11569,UNK,843,276,73,-10
Kalel Mullings,null,RB,null,12658,12516,UNK,839,277,74,-10
Andrei Iosivas,CIN,WR,25.4,9959,10226,16207,834,278,91,-93
Daniel Jones,MIN,QB,27.8,5,5870,14059,833,279,34,410
Keaton Mitchell,BAL,RB,23.2,9982,9511,16178,822,280,75,184
Dalton Schultz,HOU,TE,28.7,4655,5001,13772,822,281,36,-66
Jameis Winston,CLE,QB,31.2,794,2306,12140,813,282,35,384
Dillon Gabriel,null,QB,null,12646,12486,UNK,799,283,36,-58
Aaron Rodgers,NYJ,QB,41.3,715,96,7836,796,284,37,51
Nick Nash,null,WR,null,12621,12478,UNK,791,285,92,-10
Kirk Cousins,ATL,QB,36.6,536,1166,10700,786,286,38,-56
Parker Washington,JAX,WR,23,9894,9487,16192,773,287,93,-20
Theo Johnson,NYG,TE,24.1,11749,11597,16649,765,288,37,-409
Roman Wilson,PIT,WR,23.8,11750,11630,16629,760,289,94,-153
Joe Milton,NE,QB,25.1,11772,11557,16585,754,290,39,129
Noah Gray,KC,TE,25.9,865,7828,15337,738,291,38,-339
Jimmy Horn,null,WR,null,12600,12523,UNK,713,292,95,-9
Jaleel McLaughlin,DEN,RB,24.5,11676,11439,16390,712,293,76,-143
Pat Bryant,null,WR,null,12634,12492,UNK,710,294,96,-9
Michael Wilson,ARI,WR,25.1,9952,10232,16206,698,295,97,-65
Alec Pierce,IND,WR,24.9,5433,8142,15768,692,296,98,-141
Elijah Moore,CLE,WR,25,4250,7596,15288,680,297,99,-114
Diontae Johnson,null,WR,28.7,4373,5937,14208,678,298,100,-285
Will Howard,null,QB,null,12619,12511,UNK,676,299,40,-4
Malik Washington,MIA,WR,24.2,11770,11610,16684,663,300,101,-240
Russell Wilson,PIT,QB,36.3,8651,1234,10703,661,301,41,-170
Ricky White,null,WR,null,12582,12475,UNK,660,302,102,-8
Jermaine Burton,CIN,WR,23.7,11698,11640,16632,656,303,103,-216
Sean Tucker,TB,RB,23.4,9915,9506,16166,654,304,77,172
Jalen Tolbert,DAL,WR,26.1,2144,8117,15788,644,305,104,66
AJ Dillon,GB,RB,26.9,3368,6828,14805,640,306,78,569
Kimani Vidal,LAC,RB,23.6,11790,11647,16757,640,307,79,-102
Raheem Mostert,MIA,RB,33,6259,2749,12447,636,308,80,349
Devaughn Vele,DEN,WR,27.3,11908,11834,16788,621,309,105,-59
Mitchell Evans,null,TE,null,12614,12473,UNK,620,310,39,-8
AJ Barner,SEA,TE,22.9,11720,11603,16723,619,311,40,-19
Khalil Herbert,CIN,RB,26.9,320,7608,15271,614,312,81,290
Kenneth Gainwell,PHI,RB,26,4476,7567,15255,596,313,82,312
Dyami Brown,WAS,WR,25.4,7376,7587,15292,582,314,106,85
Devin Singletary,NYG,RB,27.6,8347,6130,14080,577,315,83,20
Ja'Quinden Jackson,null,RB,null,12651,12479,UNK,566,316,84,-7
Tre Tucker,LV,WR,24,9873,10213,16287,565,317,107,6
Gabe Davis,JAX,WR,26,8112,6943,14845,552,318,108,130
Barion Brown,null,WR,null,12645,12456,UNK,547,319,109,-6
Bru McCoy,null,WR,null,11771,11612,UNK,536,320,110,-7
Will Levis,TEN,QB,25.7,9901,9999,16149,536,321,42,-171
Luke Musgrave,GB,TE,24.6,9856,9481,16215,533,322,41,27
Alexander Mattison,LV,RB,26.8,7600,5987,14223,525,323,85,-6
Juwan Johnson,NO,TE,28.5,5552,7002,14861,519,324,42,23
Luke McCaffrey,WAS,WR,24,11788,11650,16635,504,325,111,-272
Javon Baker,NE,WR,23.1,11782,11645,16637,501,326,112,-37
Malachi Corley,NYJ,WR,23,11744,11617,16636,495,327,113,-31
Riley Leonard,null,QB,null,12613,12470,UNK,490,328,43,-6
Mac Jones,JAX,QB,26.6,6814,7527,15241,490,329,44,224
Corey Kiner,null,RB,null,12581,12491,UNK,484,330,86,-6
Miles Sanders,CAR,RB,27.9,5455,6151,14079,477,331,87,204
Evan Stewart,null,WR,null,12585,12468,UNK,467,332,114,-6
Zack Moss,CIN,RB,27.3,336,6845,14798,466,333,88,-43
Sincere McCormick,LV,RB,24.5,8286,8220,15743,459,334,89,-108
Tyler Conklin,NYJ,TE,29.7,6147,5133,13675,458,335,43,278
Antwane Wells,null,WR,null,12615,12460,UNK,456,336,115,-6
Kyle McCord,null,QB,null,12647,12494,UNK,453,337,45,-3
Isaiah Davis,NYJ,RB,23.1,11767,11571,16752,446,338,90,-78
Nick Westbrook-Ikhine,TEN,WR,28,4872,7496,15109,439,339,116,-164
Mike Williams,PIT,WR,30.5,8015,4068,13154,437,340,117,301
Brandin Cooks,DAL,WR,31.5,7088,2197,11674,430,341,118,188
Will Shipley,PHI,RB,22.6,11743,11577,16601,425,342,91,-153
Justice Hill,BAL,RB,27.4,5156,5995,14086,421,343,92,-112
Tyler Higbee,LAR,TE,32.2,5467,3271,12678,407,344,44,216
Spencer Rattler,NO,QB,24.5,11719,11562,16586,406,345,46,9
Kobe Hudson,null,WR,null,12608,12488,UNK,402,346,119,-5
Antonio Gibson,NE,RB,26.8,7587,6945,14852,402,347,93,-130
Elijah Mitchell,SF,RB,26.9,2660,7561,15263,402,348,94,308
Dameon Pierce,HOU,RB,25.1,919,8129,15717,388,349,95,-139
Darius Slayton,NYG,WR,28.2,6028,6149,14122,379,350,120,-51
Jahan Dotson,PHI,WR,25,7169,8119,15755,375,351,121,-76
Noah Fant,SEA,TE,27.3,2677,5857,14137,365,352,45,-178
Zamir White,LV,RB,25.5,3171,8139,15714,359,353,96,17
Gus Edwards,LAC,RB,30,4539,5248,13850,356,354,97,-137
Kenny Pickett,PHI,QB,26.8,5730,8160,15692,355,355,47,224
Tyler Lockett,SEA,WR,32.5,2019,2374,12187,354,356,122,-98
Jaydn Ott,null,RB,null,12577,12459,UNK,334,357,98,-4
Kurtis Rourke,null,QB,null,12630,12477,UNK,332,358,48,-5
Tutu Atwell,LAR,WR,25.5,8432,7562,15301,314,359,123,108
Cooper Rush,DAL,QB,31.3,157,4574,13124,303,360,49,173
Deshaun Watson,CLE,QB,29.5,3568,4017,13113,300,361,50,2
Moliki Matavao,null,TE,null,12628,12480,UNK,299,362,46,-3
Will Dissly,LAC,TE,28.7,8420,5010,13763,299,363,47,-103
Calvin Austin,PIT,WR,26,4996,8125,15777,288,364,124,-64
Taysom Hill,NO,TE,34.6,6915,4381,13424,278,365,48,-145
John Metchie,HOU,WR,24.7,3812,8147,15759,276,366,125,-97
Emanuel Wilson,GB,RB,25.9,11422,11435,16432,275,367,99,-47
Marquez Valdes-Scantling,NO,WR,30.5,5958,5086,13793,273,368,126,128
Cade Stover,HOU,TE,24.8,11695,11599,16642,271,369,49,-53
Sam Howell,SEA,QB,24.5,8210,8162,15693,262,370,51,113
Luke Schoonmaker,DAL,TE,26.5,11006,10871,16221,261,371,50,-94
Zach Wilson,DEN,QB,25.6,6731,7538,15239,259,372,52,214
Ray-Ray McCloud,ATL,WR,28.4,6900,5096,13641,254,373,127,-32
Cam Akers,MIN,RB,25.8,2937,6938,14799,253,374,100,-127
Stone Smartt,LAC,TE,26.5,8005,8583,16113,252,375,51,259
Jalen Nailor,MIN,WR,26.1,3629,8180,15786,231,376,128,-57
Rondale Moore,ATL,WR,24.8,2214,7601,15283,221,377,129,93
Erick All,CIN,TE,24.5,11761,11592,16645,219,378,52,-473
Treylon Burks,TEN,WR,25,2373,8135,15752,212,379,130,27
Demarcus Robinson,LAR,WR,30.5,448,3286,12785,197,380,131,54
Jalin Hyatt,NYG,WR,23.5,9851,9497,16183,195,381,132,21
Malik Willis,GB,QB,25.8,6888,8161,15694,190,382,53,-61
Jake Bobo,SEA,WR,26.6,11025,10867,16393,186,383,133,190
Aidan O'Connell,LV,QB,26.6,11015,10866,16159,183,384,54,-24
Gardner Minshew,LV,QB,28.9,7783,6011,14067,181,385,55,99
